
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[01:09:17.420 --> 01:09:18.740]   and the type of people you interact with
[01:09:18.740 --> 01:09:19.700]   are very different.
[01:09:19.700 --> 01:09:21.140]   When I speak to VCs in the US,
[01:09:21.140 --> 01:09:22.940]   there's way more former founders,
[01:09:22.940 --> 01:09:26.040]   there's way more people who have done DevTools before,
[01:09:26.040 --> 01:09:27.980]   and there's way more support from the founders
[01:09:27.980 --> 01:09:30.700]   towards the ecosystem than there is in Europe.
[01:09:30.700 --> 01:09:33.940]   People are trying, but the culture is not quite the same.
[01:09:33.940 --> 01:09:35.980]   And that's why we're moving to SF, right?
[01:09:35.980 --> 01:09:38.020]   We want to be, every time I've been to SF,
[01:09:38.020 --> 01:09:39.620]   good things have happened to people.
[01:09:39.620 --> 01:09:42.000]   Whether it's like bumping into you,
[01:09:42.000 --> 01:09:44.340]   or we get an introduction to an interesting investor,
[01:09:44.340 --> 01:09:47.060]   or a customer, or we just speak to someone
[01:09:47.060 --> 01:09:49.220]   who's been trying really hard to build something.
[01:09:49.220 --> 01:09:52.420]   And we share an office here in London with Bloop,
[01:09:52.420 --> 01:09:55.500]   that does, Bloop AI does code search with LLMs,
[01:09:55.500 --> 01:09:57.300]   and we've tried our very best
[01:09:57.300 --> 01:09:59.180]   to kind of aggregate a few other companies to us,
[01:09:59.180 --> 01:10:02.220]   and we're doing AI tinkerers tomorrow.
[01:10:02.220 --> 01:10:03.660]   So there is some of it here,
[01:10:03.660 --> 01:10:05.820]   but you have to work so much harder.
[01:10:05.820 --> 01:10:09.180]   Versus in SF, you can't move for hitting some AI thing.
[01:10:09.180 --> 01:10:11.060]   - We had a Thursday recently
[01:10:11.060 --> 01:10:12.980]   with 10 AI meetups in one night.
[01:10:12.980 --> 01:10:14.300]   - Yeah, it's almost too much.
[01:10:14.300 --> 01:10:15.140]   - It is too much.
[01:10:15.140 --> 01:10:15.980]   (laughing)
[01:10:15.980 --> 01:10:17.980]   I'll go there and say it is too much.
[01:10:17.980 --> 01:10:19.300]   - Yeah, yeah, yeah.
[01:10:19.300 --> 01:10:20.260]   - You need some time to build things too.
[01:10:20.260 --> 01:10:21.420]   - And there is, I would say,
[01:10:21.420 --> 01:10:23.180]   actually in the SF builder scene,
[01:10:23.180 --> 01:10:24.940]   privilege that comes out of
[01:10:24.940 --> 01:10:27.260]   just having so much opportunity thrown at you.
[01:10:27.260 --> 01:10:31.540]   And that we have this arm's length, this taste for VC,
[01:10:31.540 --> 01:10:33.100]   and I'm like, no, they are partners
[01:10:33.100 --> 01:10:33.940]   in building your business.
[01:10:33.940 --> 01:10:34.900]   - Oh, absolutely.
[01:10:34.900 --> 01:10:37.180]   - Yeah, so I think it's an interesting contrast,
[01:10:37.180 --> 01:10:38.940]   but as a person, I'm not American,
[01:10:38.940 --> 01:10:41.300]   I lived most of my adult life in America,
[01:10:41.300 --> 01:10:46.300]   but I feel for non-US policy makers,
[01:10:46.420 --> 01:10:50.100]   and VCs, and people who care about their city,
[01:10:50.100 --> 01:10:53.180]   who are like, okay, we're not SF, what do we do?
[01:10:53.180 --> 01:10:54.580]   - I honestly think that it's,
[01:10:54.580 --> 01:10:55.820]   we think a lot about network effects
[01:10:55.820 --> 01:10:57.580]   and defensibility in startups.
[01:10:57.580 --> 01:10:59.860]   I think it's like the mother of all network effects.
[01:10:59.860 --> 01:11:02.020]   The reason I'm going is not because I love the city.
[01:11:02.020 --> 01:11:04.220]   I mean, SF's fine as a city, I like it,
[01:11:04.220 --> 01:11:06.300]   but I'm going because everyone else is going,
[01:11:06.300 --> 01:11:09.340]   and everyone else is going because we're going.
[01:11:09.340 --> 01:11:11.300]   Once you've attracted a certain talent density,
[01:11:11.300 --> 01:11:14.100]   I think it's really hard to compete with that.
[01:11:14.100 --> 01:11:15.140]   - Oh boy, okay.
[01:11:15.140 --> 01:11:15.980]   (laughing)
[01:11:15.980 --> 01:11:18.700]   - It is true, it's the honest truth.
[01:11:18.700 --> 01:11:21.900]   I do want to work on a path for non-tech hub cities,
[01:11:21.900 --> 01:11:23.780]   because that's where I'm from.
[01:11:23.780 --> 01:11:25.780]   - Yeah, and me too as well.
[01:11:25.780 --> 01:11:29.060]   But I also think there's something to be said
[01:11:29.060 --> 01:11:32.060]   for the most driven, most ambitious people
[01:11:32.060 --> 01:11:35.060]   finding a way to get to where the center for their thing is.
[01:11:35.060 --> 01:11:37.460]   And right now, today, for AI-focused products,
[01:11:37.460 --> 01:11:38.840]   I think it's San Francisco,
[01:11:38.840 --> 01:11:42.180]   but for different things, the center is different places.
[01:11:42.180 --> 01:11:44.260]   Hollywood is the place to go if you're an actor or whatever,
[01:11:44.260 --> 01:11:46.700]   and there are different hubs for different areas.
[01:11:46.700 --> 01:11:47.980]   - It's a Paul Graham thing.
[01:11:47.980 --> 01:11:50.700]   Different cities breathe different ambitions into you,
[01:11:50.700 --> 01:11:53.060]   and in San Francisco, apparently it's power.
[01:11:53.060 --> 01:11:54.460]   (laughing)
[01:11:54.460 --> 01:11:56.020]   It's not actually tech, it's power.
[01:11:56.020 --> 01:11:56.860]   - Okay, interesting.
[01:11:56.860 --> 01:11:58.500]   - And tech is a means to power.
[01:11:58.500 --> 01:11:59.340]   - Interesting.
[01:11:59.340 --> 01:12:01.460]   There's a lesson in that for those of us
[01:12:01.460 --> 01:12:02.780]   who think about AGI safety.
[01:12:02.780 --> 01:12:06.900]   - And also, not anywhere in San Francisco,
[01:12:06.900 --> 01:12:09.300]   specific two square miles in San Francisco called the arena.
[01:12:09.300 --> 01:12:10.140]   (laughing)
[01:12:10.140 --> 01:12:12.140]   You have to get in the arena and build.
[01:12:12.140 --> 01:12:15.060]   - Okay, so broader takeaway questions.
[01:12:15.060 --> 01:12:16.500]   We always ask three of all our guests.
[01:12:16.500 --> 01:12:18.180]   Acceleration, what has already happened in AI
[01:12:18.180 --> 01:12:20.420]   that you thought would take much longer?
[01:12:20.420 --> 01:12:23.380]   - So this has been, since I started my PhD,
[01:12:23.380 --> 01:12:24.660]   every year things have happened
[01:12:24.660 --> 01:12:25.740]   that I thought would take much longer.
[01:12:25.740 --> 01:12:27.740]   So when I started my PhD, it was at a time
[01:12:27.740 --> 01:12:30.160]   when deep learning had just sort of started working,
[01:12:30.160 --> 01:12:32.380]   and transfer learning, even for vision,
[01:12:32.380 --> 01:12:33.940]   hadn't been figured out yet.
[01:12:33.940 --> 01:12:35.740]   And people were talking about,
[01:12:35.740 --> 01:12:37.220]   how long before we can train models
[01:12:37.220 --> 01:12:39.540]   that don't need millions of annotated data examples?
[01:12:39.540 --> 01:12:41.580]   How long, so AlphaGo was happening
[01:12:41.580 --> 01:12:44.180]   just at that point in time, the first version.
[01:12:44.180 --> 01:12:45.660]   I have made predictions and been wrong
[01:12:45.660 --> 01:12:46.540]   again and again and again.
[01:12:46.540 --> 01:12:48.340]   I've just been consistently too pessimistic.
[01:12:48.340 --> 01:12:50.500]   And I think I'm quite an optimistic person.
[01:12:50.500 --> 01:12:54.160]   When would, like Dota surprised me when it happened.
[01:12:54.160 --> 01:12:57.680]   The first transfer learning working in vision
[01:12:57.680 --> 01:12:58.660]   surprised me when it happened.
[01:12:58.660 --> 01:13:00.860]   The continued success of scale and deep learning.
[01:13:00.860 --> 01:13:03.660]   And then finally, although I believed
[01:13:03.660 --> 01:13:04.920]   that LLMs were gonna be enormous,
[01:13:04.920 --> 01:13:07.320]   and I thought GPT-3 was gonna be the future,
[01:13:07.320 --> 01:13:10.720]   just how good GPT-4 and ChatGPT turned out to be
[01:13:10.720 --> 01:13:11.840]   did surprise me.
[01:13:11.840 --> 01:13:13.460]   The first time, I actually saw Claude
[01:13:13.460 --> 01:13:15.800]   before I saw ChatGPT.
[01:13:15.800 --> 01:13:17.740]   But the first time I saw Claude,
[01:13:17.740 --> 01:13:20.200]   and I kept pushing the limits of it
[01:13:20.200 --> 01:13:22.460]   with tasks that I knew were kind of at the frontier
[01:13:22.460 --> 01:13:24.080]   of what was currently possible,
[01:13:24.080 --> 01:13:27.080]   and just saw it blasting through these one after another.
[01:13:27.080 --> 01:13:29.080]   That was a mind-blowing moment for me.
[01:13:29.080 --> 01:13:31.160]   And I think it was for a lot of the rest of us.
[01:13:31.160 --> 01:13:32.520]   I think we're gonna have a lot more of those.
[01:13:32.520 --> 01:13:33.960]   I think that's gonna keep happening.
[01:13:33.960 --> 01:13:36.960]   - Yeah, yeah, we are accelerating as we speak.
[01:13:36.960 --> 01:13:38.320]   Exploration, what do you think
[01:13:38.320 --> 01:13:41.120]   is the most interesting unsolved question in AI?
[01:13:41.120 --> 01:13:43.120]   - I think there's actually some obvious
[01:13:43.120 --> 01:13:44.960]   kind of elephant in the room unsolved problems
[01:13:44.960 --> 01:13:46.480]   that for some reason don't seem to get
[01:13:46.480 --> 01:13:48.840]   the amount of airtime that they kind of obviously should.
[01:13:48.840 --> 01:13:50.800]   So continual learning to me is one of these.
[01:13:50.800 --> 01:13:51.640]   - Oh God, yeah.
[01:13:51.640 --> 01:13:53.960]   - Like we all walk around as if it's just completely normal
[01:13:53.960 --> 01:13:55.880]   that these models never learn anything new.
[01:13:55.880 --> 01:13:57.560]   - Yeah, 2021 is when history ended.
[01:13:57.560 --> 01:13:59.880]   - You just think, yeah, 2021 is when history ended.
[01:13:59.880 --> 01:14:02.360]   And you do retrieval augmentation with a vector database,
[01:14:02.360 --> 01:14:03.440]   and you're done, right?
[01:14:03.440 --> 01:14:05.880]   Why would the system keep learning after training?
[01:14:05.880 --> 01:14:08.760]   And I think everyone knows that this is a problem,
[01:14:08.760 --> 01:14:11.680]   but somehow it doesn't seem to me to get the amount of,
[01:14:11.680 --> 01:14:14.880]   I think this field in research is called continual learning
[01:14:14.880 --> 01:14:17.160]   or lifelong learning.
[01:14:17.160 --> 01:14:19.840]   And it doesn't seem to get the airtime that it used to.
[01:14:19.840 --> 01:14:22.440]   It seems to me like an obviously enormous problem.
[01:14:22.440 --> 01:14:25.640]   The other one that I think will happen naturally,
[01:14:25.640 --> 01:14:27.360]   but just hasn't happened yet,
[01:14:27.360 --> 01:14:29.440]   is just like more multimodality, right?
[01:14:29.440 --> 01:14:31.040]   Like it's kind of obvious that these models
[01:14:31.040 --> 01:14:35.120]   should be plugged in to vision, audio, speech, et cetera,
[01:14:35.120 --> 01:14:36.480]   and have shared representations,
[01:14:36.480 --> 01:14:38.240]   'cause there's so much to be gained from that.
[01:14:38.240 --> 01:14:40.760]   And I think it's just like gonna happen with time,
[01:14:40.760 --> 01:14:42.240]   but hasn't happened yet.
[01:14:42.240 --> 01:14:46.960]   - Yeah, well, I think the cost is just token space, I guess.
[01:14:46.960 --> 01:14:49.000]   I don't know how much more you need
[01:14:49.000 --> 01:14:51.360]   to add every single modality.
[01:14:51.360 --> 01:14:52.200]   Although I think Facebook released like six modalities.
[01:14:52.200 --> 01:14:54.000]   - We have some examples of this, right?
[01:14:54.000 --> 01:14:57.520]   So like Gatto from DeepMind was a transformer model
[01:14:57.520 --> 01:14:58.520]   that they trained across.
[01:14:58.520 --> 01:15:00.080]   They just did policy distillation.
[01:15:00.080 --> 01:15:02.360]   So they trained a whole bunch of different RL agents,
[01:15:02.360 --> 01:15:03.520]   and they took the outputs of that,
[01:15:03.520 --> 01:15:05.840]   which is like observation, action, reward, triples,
[01:15:05.840 --> 01:15:08.720]   and trained a single transformer model on all of that.
[01:15:08.720 --> 01:15:11.120]   And then that one model could do any of those tasks.
[01:15:11.120 --> 01:15:12.640]   Actually, okay, whilst we're in exploration mode,
[01:15:12.640 --> 01:15:13.960]   there's a paper from DeepMind,
[01:15:13.960 --> 01:15:16.600]   very same time, came out at the same time as Gatto,
[01:15:16.600 --> 01:15:19.280]   that I think is massively underrated.
[01:15:19.280 --> 01:15:21.640]   And I don't understand why it didn't get more attention,
[01:15:21.640 --> 01:15:24.120]   which it was at the same NeurIPS conference,
[01:15:24.120 --> 01:15:25.240]   and I forget the exact title,
[01:15:25.240 --> 01:15:26.080]   but I think it's called like
[01:15:26.080 --> 01:15:29.120]   in-context reinforcement learning, or something like that.
[01:15:29.120 --> 01:15:31.200]   And they do something really similar to Gatto.
[01:15:31.200 --> 01:15:34.120]   They take an RL agent, they train it,
[01:15:34.120 --> 01:15:37.320]   and then they distill that into a transformer model.
[01:15:37.320 --> 01:15:38.700]   But what they do that's different
[01:15:38.700 --> 01:15:40.760]   is they don't take the trained RL agent.
[01:15:40.760 --> 01:15:43.720]   Instead, they take an untrained RL agent,
[01:15:43.720 --> 01:15:45.960]   and they record the full trajectory of its learning.
[01:15:45.960 --> 01:15:48.360]   So early on in the data, the model's kind of crappy,
[01:15:48.360 --> 01:15:49.640]   and by the end of the data,
[01:15:49.640 --> 01:15:51.600]   the model's been good at this task.
[01:15:51.600 --> 01:15:53.400]   And then they train a transformer model
[01:15:53.400 --> 01:15:55.920]   to predict that sequence.
[01:15:55.920 --> 01:15:58.240]   And in order to be good at predicting that sequence,
[01:15:58.240 --> 01:16:00.720]   you have to predict that the sub-agent,
[01:16:00.720 --> 01:16:02.280]   like the RL agent that generated the data,
[01:16:02.280 --> 01:16:04.480]   gets better at the task over time.
[01:16:04.480 --> 01:16:06.760]   And the only way that I can see to do that,
[01:16:06.760 --> 01:16:08.960]   and in fact, this seems to be what the model's doing,
[01:16:08.960 --> 01:16:11.920]   is that you have to simulate a learning algorithm.
[01:16:11.920 --> 01:16:13.480]   The transformer has to simulate
[01:16:13.480 --> 01:16:15.280]   in-context reinforcement learning.
[01:16:15.280 --> 01:16:17.200]   And so they take all of these tasks,
[01:16:17.200 --> 01:16:19.220]   they train on the learning trajectories,
[01:16:19.220 --> 01:16:21.000]   and then they take a completely new task
[01:16:21.000 --> 01:16:23.320]   that that transformer model has never seen before,
[01:16:23.320 --> 01:16:25.280]   and it learns to do that task.
[01:16:25.280 --> 01:16:27.720]   And so it's learning from reward signals
[01:16:27.720 --> 01:16:29.440]   in context to achieve a new task.
[01:16:29.440 --> 01:16:30.720]   And to me, that's huge.
[01:16:30.720 --> 01:16:33.360]   It's a demonstration of inner optimization
[01:16:33.360 --> 01:16:35.120]   within a transformer model,
[01:16:35.120 --> 01:16:37.600]   and it's also a demonstration of in-context,
[01:16:37.600 --> 01:16:39.720]   continuous learning that's limited only
[01:16:39.720 --> 01:16:41.240]   by the length of the context window.
[01:16:41.240 --> 01:16:42.520]   If the context window was really long,
[01:16:42.520 --> 01:16:44.240]   you could make this work practically.
[01:16:44.240 --> 01:16:46.800]   I don't really know why that wasn't a bigger deal.
[01:16:46.800 --> 01:16:48.780]   - I don't know either.
[01:16:48.780 --> 01:16:50.320]   This sounds fantastic.
[01:16:50.320 --> 01:16:52.240]   - Yeah, and Gato, I think the reason
[01:16:52.240 --> 01:16:53.080]   maybe it wasn't a bigger deal
[01:16:53.080 --> 01:16:54.560]   is it came out exactly the same time as Gato,
[01:16:54.560 --> 01:16:56.980]   and I think Gato just took all the attention.
[01:16:56.980 --> 01:16:59.740]   - So we just got done talking a lot about focus,
[01:16:59.740 --> 01:17:02.300]   but given that you see potential in this,
[01:17:02.300 --> 01:17:05.460]   and this would be huge for literally training anything,
[01:17:05.460 --> 01:17:08.280]   would you be interested in exploring it at some point?
[01:17:08.280 --> 01:17:09.780]   - As in trying to train it myself?
[01:17:09.780 --> 01:17:11.140]   - Put this in production,
[01:17:11.140 --> 01:17:12.740]   some form of continuous learning.
[01:17:12.740 --> 01:17:15.620]   Obviously, that's on your radar, continuous learning.
[01:17:15.620 --> 01:17:17.620]   - I would love to, but I think you have to decide
[01:17:17.620 --> 01:17:19.340]   what kind of company you want to be,
[01:17:19.340 --> 01:17:22.660]   and this is something for OpenAI or Anthropic to focus on.
[01:17:22.660 --> 01:17:24.140]   I feel like you have to be thinking
[01:17:24.140 --> 01:17:26.580]   about the fundamentals of,
[01:17:26.580 --> 01:17:28.740]   this is the kind of research I used to do as a PhD student.
[01:17:28.740 --> 01:17:30.740]   - So I'll put it this way, right?
[01:17:30.740 --> 01:17:33.620]   You have the research background to do this,
[01:17:33.620 --> 01:17:35.240]   and you're choosing not to,
[01:17:35.240 --> 01:17:36.460]   and you're building a company
[01:17:36.460 --> 01:17:40.160]   that doesn't use your research, specifically that part.
[01:17:40.160 --> 01:17:43.620]   I mean, you know.
[01:17:43.620 --> 01:17:47.540]   - Reasonable question, but I think that I'm excited
[01:17:47.540 --> 01:17:52.100]   about getting things useful into people's hands very quickly.
[01:17:52.100 --> 01:17:54.300]   Like I like seeing, we talked about this earlier, right?
[01:17:54.300 --> 01:17:56.100]   We've moved from the research phase
[01:17:56.100 --> 01:17:57.740]   to the engineering phase of AI.
[01:17:57.740 --> 01:18:00.580]   It's the first time after having been in this field
[01:18:00.580 --> 01:18:02.060]   for maybe seven years,
[01:18:02.060 --> 01:18:07.060]   where stuff goes beyond just kind of a graph, right?
[01:18:07.060 --> 01:18:09.300]   The output of my work before would always be like,
[01:18:09.300 --> 01:18:11.780]   oh look, there's a graph, and the number's better now,
[01:18:11.780 --> 01:18:13.740]   versus we actually get to see,
[01:18:13.740 --> 01:18:16.140]   we have a customer, between Duolingo
[01:18:16.140 --> 01:18:17.460]   and two or three of our other customers,
[01:18:17.460 --> 01:18:19.060]   we've got three or four customers working on
[01:18:19.060 --> 01:18:21.180]   better versions of teaching students, right?
[01:18:21.180 --> 01:18:24.380]   Tutors or language learning or whatever it might be,
[01:18:24.380 --> 01:18:26.300]   and to be able to make that incrementally better
[01:18:26.300 --> 01:18:28.900]   and accelerate the time it takes to get there,
[01:18:28.900 --> 01:18:30.820]   it just feels to be so much closer to it,
[01:18:30.820 --> 01:18:32.700]   to be on the engineering space right now,
[01:18:32.700 --> 01:18:34.700]   whereas I think there's an alternative universe
[01:18:34.700 --> 01:18:36.580]   in which I stayed in research,
[01:18:36.580 --> 01:18:39.260]   and I went to an open AI, or you know,
[01:18:39.260 --> 01:18:41.340]   almost everyone from my research, PhD research group,
[01:18:41.340 --> 01:18:43.300]   apart from Peter, now works at DeepMind.
[01:18:43.300 --> 01:18:46.900]   And I think I would have enjoyed that as well,
[01:18:46.900 --> 01:18:48.300]   but I really wanted to start a company
[01:18:48.300 --> 01:18:50.940]   that built something useful and in production,
[01:18:50.940 --> 01:18:52.240]   and I don't even think those companies
[01:18:52.240 --> 01:18:53.380]   do that much right now, right?
[01:18:53.380 --> 01:18:55.340]   Like, it's only recently that open AI
[01:18:55.340 --> 01:18:56.980]   has sort of become a product company.
[01:18:56.980 --> 01:18:58.620]   They're more of a research company,
[01:18:58.620 --> 01:18:59.460]   they're building AGI,
[01:18:59.460 --> 01:19:01.020]   and I think that's true of the others,
[01:19:01.020 --> 01:19:02.820]   and I think that's amazing and fascinating,
[01:19:02.820 --> 01:19:05.900]   and if I had multiple lives, I would love to do that too,
[01:19:05.900 --> 01:19:07.900]   but at least right now, I wanna be building products
[01:19:07.900 --> 01:19:09.260]   and putting them in people's hands,
[01:19:09.260 --> 01:19:10.900]   and it just feels a little bit far removed.
[01:19:10.900 --> 01:19:12.220]   - Yeah, yeah, makes sense.
[01:19:12.220 --> 01:19:13.860]   And I think the world's better
[01:19:13.860 --> 01:19:15.660]   because you're actually coming at it
[01:19:15.660 --> 01:19:18.780]   with a full knowledge of what came before.
[01:19:18.780 --> 01:19:21.300]   - Yeah, I do think it's a huge advantage.
[01:19:21.300 --> 01:19:23.540]   I do think having a good conceptual,
[01:19:23.540 --> 01:19:25.340]   like, there's been a lot of people
[01:19:25.340 --> 01:19:27.940]   that have pivoted into, as you said, LLM ops earlier,
[01:19:27.940 --> 01:19:31.260]   and I do think that actually knowing how it works,
[01:19:31.260 --> 01:19:33.100]   having a sense of what's gonna come next,
[01:19:33.100 --> 01:19:35.460]   and being able to project forwards and build for it,
[01:19:35.460 --> 01:19:36.780]   is difficult to do if you don't have
[01:19:36.780 --> 01:19:38.900]   a good conceptual understanding of the machine learning.
[01:19:38.900 --> 01:19:40.580]   - Yeah, yeah, yeah, agreed.
[01:19:40.580 --> 01:19:42.900]   Okay, well, I feel like this is a leading question,
[01:19:42.900 --> 01:19:46.220]   but what's one message you want everyone to take away today?
[01:19:46.220 --> 01:19:48.260]   - Oh, wow, that's a great question.
[01:19:48.260 --> 01:19:50.060]   Really, if you're building,
[01:19:50.060 --> 01:19:51.980]   if you're building a serious LLM application
[01:19:51.980 --> 01:19:54.300]   and you're trying to do, find the right prompts,
[01:19:54.300 --> 01:19:56.140]   optimize them, evaluate your models,
[01:19:56.140 --> 01:19:58.060]   then I really would encourage you to try out HumanLoop.
[01:19:58.060 --> 01:20:00.660]   Like, that's the use case that we really solve well for,
[01:20:00.660 --> 01:20:02.500]   especially if you're kind of having to collaborate
[01:20:02.500 --> 01:20:03.900]   with non-technical people,
[01:20:03.900 --> 01:20:06.100]   then HumanLoop will probably solve a lot of pain for you.
[01:20:06.100 --> 01:20:06.980]   - Yeah, excellent.
[01:20:06.980 --> 01:20:08.580]   Well, thanks so much for doing this.
[01:20:08.580 --> 01:20:10.780]   I had a real joy getting to know you
[01:20:10.780 --> 01:20:13.380]   and debugging real life issues with you,
[01:20:13.380 --> 01:20:15.500]   but that's the fun of latent space, so thank you so much.
[01:20:15.500 --> 01:20:16.340]   - No, thanks for having me.
[01:20:16.340 --> 01:20:17.380]   It's been an absolute pleasure to get
[01:20:17.380 --> 01:20:18.780]   to spend some time with you, Sean.
[01:20:18.780 --> 01:20:22.220]   (upbeat music)
[01:20:22.220 --> 01:20:24.260]   - In this episode of the Latent Space Podcast,
[01:20:24.260 --> 01:20:26.860]   we delved into the world of LLM ops
[01:20:26.860 --> 01:20:28.460]   and had a wide ranging conversation
[01:20:28.460 --> 01:20:31.500]   with Dr. Raza Habib, co-founder of HumanLoop.
[01:20:31.500 --> 01:20:33.860]   We covered what is HumanLoop,
[01:20:33.860 --> 01:20:36.220]   the three stages of prompt evals,
[01:20:36.220 --> 01:20:38.300]   the three types of human feedback,
[01:20:38.300 --> 01:20:40.780]   HumanLoop's new free tier and pricing,
[01:20:40.780 --> 01:20:44.060]   the competitive landscape and graduation risk of HumanLoop,
[01:20:44.060 --> 01:20:48.580]   prompt ops versus MLops, prompt engineer versus AI engineer.
[01:20:48.580 --> 01:20:50.740]   Did GPT-4 get dumber?
[01:20:50.740 --> 01:20:53.140]   Europe's AI scene versus San Francisco.
[01:20:53.140 --> 01:20:55.820]   And don't sleep on Raza's in-depth explanations
[01:20:55.820 --> 01:20:59.980]   of LLM cascades and DeepMind's work on continuous learning.
[01:20:59.980 --> 01:21:01.900]   If you are interested in HumanLoop,
[01:21:01.900 --> 01:21:04.580]   definitely check out their hiring page and new pricing
[01:21:04.580 --> 01:21:07.660]   and vote for them on the state of AI engineering survey.
[01:21:07.660 --> 01:21:10.660]   Thank you for tuning into the Latent Space Podcast.
[01:21:10.660 --> 01:21:12.140]   Don't forget to like, subscribe,
[01:21:12.140 --> 01:21:14.340]   and tweet your takes at Latent Space Pod.
[01:21:14.340 --> 01:21:15.260]   Now go build.
[01:21:15.260 --> 01:21:17.840]   (upbeat music)

